Chapter,Media Link,Media Credit,Media Credit Link,Description,Zoom,Marker,Marker Color,Location,Latitude,Longitude,Overlay,Overlay Transparency,GeoJSON Overlay,GeoJSON Feature Properties
The Play,,,,The first venue I've ever performed at. This location is a small one based in Liberty City that has an indoor and outdoor area. One of the best feelings i've ever had in my life as it was my first time performing and the people there knew a majority of my lyrics.,16,Numbered,green,"Miami, Florida",25.837,--80.227,,,,
The Sandbox,,,,One of the venues I perform at the most constantly. This venue is located on Miami Beach and is one of the most professional ones ive seen or performed at at the local level. The first time i ever performed here was with a group of my friends so it was a nice experience.,16,Numbered,yellow,"Miami, Florida",25.857,-80.12,,,,
